"Time.period","Region","type of journey","value","amount of journeys (thousands)","sort","journey_scope"
"Apr 2003 to Mar 2004","Wales","North West thousands","1,310",1310,9,"Between regions"
"Apr 2003 to Mar 2004","Wales","Yorkshire and the Humber thousands","143",143,9,"Between regions"
"Apr 2003 to Mar 2004","Wales","East Midlands thousands","139",139,9,"Between regions"
"Apr 2003 to Mar 2004","Wales","West Midlands thousands","852",852,9,"Between regions"
"Apr 2003 to Mar 2004","Wales","East England thousands","133",133,9,"Between regions"
"Apr 2003 to Mar 2004","Wales","London thousands","1,811",1811,9,"Between regions"
"Apr 2003 to Mar 2004","Wales","South East thousands","557",557,9,"Between regions"
"Apr 2003 to Mar 2004","Wales","South West thousands","1,643",1643,9,"Between regions"
"Apr 2003 to Mar 2004","Wales","Scotland thousands","43",43,9,"Between regions"
"Apr 2003 to Mar 2004","Wales","Journeys within Wales thousands","12,863",12863,9,"Within region"
"Apr 2003 to Mar 2004","West Midlands","North East thousands","249",249,9,"Between regions"
"Apr 2003 to Mar 2004","West Midlands","North West thousands","2,128",2128,9,"Between regions"
"Apr 2003 to Mar 2004","West Midlands","Yorkshire and the Humber thousands","749",749,9,"Between regions"
"Apr 2003 to Mar 2004","West Midlands","East Midlands thousands","2,683",2683,9,"Between regions"
"Apr 2003 to Mar 2004","West Midlands","East England thousands","549",549,9,"Between regions"
"Apr 2003 to Mar 2004","West Midlands","London thousands","5,664",5664,9,"Between regions"
"Apr 2003 to Mar 2004","West Midlands","South East thousands","1,730",1730,9,"Between regions"
"Apr 2003 to Mar 2004","West Midlands","South West thousands","1,110",1110,9,"Between regions"
"Apr 2003 to Mar 2004","West Midlands","Wales thousands","852",852,9,"Between regions"
"Apr 2003 to Mar 2004","West Midlands","Scotland thousands","183",183,9,"Between regions"
"Apr 2003 to Mar 2004","West Midlands","Journeys within West Midlands thousands","17,365",17365,9,"Within region"
"Apr 2003 to Mar 2004","Yorkshire and the Humber","North East thousands","1,521",1521,9,"Between regions"
"Apr 2003 to Mar 2004","Yorkshire and the Humber","North West thousands","4,419",4419,9,"Between regions"
"Apr 2003 to Mar 2004","Yorkshire and the Humber","East Midlands thousands","2,089",2089,9,"Between regions"
"Apr 2003 to Mar 2004","Yorkshire and the Humber","West Midlands thousands","749",749,9,"Between regions"
"Apr 2003 to Mar 2004","Yorkshire and the Humber","East England thousands","710",710,9,"Between regions"
"Apr 2003 to Mar 2004","Yorkshire and the Humber","London thousands","4,565",4565,9,"Between regions"
"Apr 2003 to Mar 2004","Yorkshire and the Humber","South East thousands","567",567,9,"Between regions"
"Apr 2003 to Mar 2004","Yorkshire and the Humber","South West thousands","400",400,9,"Between regions"
"Apr 2003 to Mar 2004","Yorkshire and the Humber","Wales thousands","143",143,9,"Between regions"
"Apr 2003 to Mar 2004","Yorkshire and the Humber","Scotland thousands","748",748,9,"Between regions"
"Apr 2003 to Mar 2004","Yorkshire and the Humber","Journeys within Yorkshire and the Humber thousands","21,831",21831,9,"Within region"
